id_industry;name_industry
15;Автомобильный бизнес
50;Гостиницы, рестораны, общепит, кейтеринг
36;Государственные организации
45;Добывающая отрасль
51;ЖКХ
7;Информационные технологии, системная интеграция, интернет
52;Искусство, культура
19;Лесная промышленность, деревообработка
48;Медицина, фармацевтика, аптеки
24;Металлургия, металлообработка
47;Нефть и газ
39;Образовательные учреждения
37;Общественная деятельность, партии, благотворительность, НКО
5;Перевозки, логистика, склад, ВЭД
27;Продукты питания
388;Промышленное оборудование, техника, станки и комплектующие
41;Розничная торговля
11;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
29;Сельское хозяйство
13;Строительство, недвижимость, эксплуатация, проектирование
9;Телекоммуникации, связь
42;Товары народного потребления (непищевые)
33;Тяжелое машиностроение
389;Управление многопрофильными активами
44;Услуги для бизнеса
49;Услуги для населения
43;Финансовый сектор
34;Химическое производство, удобрения
8;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
46;Энергетика
